layer1,layer2,layer3,layer4,layer5,loss,parameters,total_number_of_samples,number_of_features,overall_max,overall_min,overall_average,overall_std,regression,multiclassification,binclassification,name
100,80,60,40,1,0.3623,16821,303,13,1.0,0.0,0.4697909533766745,0.35566420364328144,0,0,1,heart
100,100,100,100,1,0.4147,31801,303,13,1.0,0.0,0.4697909533766745,0.35566420364328144,0,0,1,heart
80,60,40,20,1,0.5768,9261,303,13,1.0,0.0,0.4697909533766745,0.35566420364328144,0,0,1,heart
60,40,20,10,1,0.6425,4321,303,13,1.0,0.0,0.4697909533766745,0.35566420364328144,0,0,1,heart
8,8,1,0,0,0.3647,329,569,30,1.0,0.0,0.3306309631684028,0.207007413356517,0,0,1,breast cancer
16,10,8,1,0,0.3073,763,569,30,1.0,0.0,0.3306309631684028,0.207007413356517,0,0,1,breast cancer
20,20,20,1,0,0.2989,1481,569,30,1.0,0.0,0.3306309631684028,0.207007413356517,0,0,1,breast cancer
16,8,4,2,1,0.6448,681,569,30,1.0,0.0,0.3306309631684028,0.207007413356517,0,0,1,breast cancer
40,40,20,10,1,0.193,3921,569,30,1.0,0.0,0.3306309631684028,0.207007413356517,0,0,1,breast cancer
60,40,20,10,1,0.257,5341,569,30,1.0,0.0,0.3306309631684028,0.207007413356517,0,0,1,breast cancer
80,60,40,20,1,0.4042,10621,569,30,1.0,0.0,0.3306309631684028,0.207007413356517,0,0,1,breast cancer
100,100,100,100,1,0.2623,33501,569,30,1.0,0.0,0.3306309631684028,0.207007413356517,0,0,1,breast cancer
100,80,60,40,1,0.2194,18521,569,30,1.0,0.0,0.3306309631684028,0.207007413356517,0,0,1,breast cancer
1000,1000,1000,1000,1,0.3457,3035001,569,30,1.0,0.0,0.3306309631684028,0.207007413356517,0,0,1,breast cancer
